id,Campaign title,Subject,Audience,Send Date,Send Day,Total Recipients,Total Bounces,Unique Opens,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribed,Abuse Complaints,Total Revenue
b2beef04ec,10/16 How you feel when your teen begins to get excited about their future,When your teen begins to get excited about their future😊,Grown & Flown Email Subscription,10/16/2022,Sunday,159942,141,73367,88326,1842,0.01016264,2113,100,8,0
71474bd1ba,10/13 15 Biggest Financial Aid and FAFSA Mistakes,15 Biggest Financial Aid and FAFSA Mistakes,Grown & Flown Email Subscription,10/13/2022,Thursday,159963,136,77982,102803,6432,0.031821907,7475,106,10,0
6829b68f35,Here are the Most Popular Amazon Prime Early Access Deals,Here are the Most Popular G&F Amazon Prime Early Access Deals + New Finds,Grown & Flown Email Subscription,10/12/2022,Wednesday,160098,141,86582,115750,4875,0.023343774,6438,188,6,0
1d44aadf25,Amazon Prime Early Access Deals,Here are our Amazon Prime Early Access Deals for You!,Grown & Flown Email Subscription,10/11/2022,Tuesday,159447,145,78454,106891,9028,0.046697468,11410,112,8,0
96ab0855f6,10/9 This has been a kinder gentler start to college,This year was a kinder gentler start to college,Grown & Flown Email Subscription,10/9/2022,Sunday,159458,156,75037,97938,2278,0.01200236,2745,123,10,0
4d1f61125b,10/6 Adulting 101 Syllabus: 20 Life Skills For Teens,Adulting 101 Syllabus: 20 Life Skills For Teens,Grown & Flown Email Subscription,10/6/2022,Thursday,159454,188,71609,96733,5881,0.023055768,8217,78,21,0
9336ea1348,10/4When your teen gets cut from a team,When your teen gets cut from their team,Grown & Flown Email Subscription,10/4/2022,Tuesday,159436,200,74944,100800,3344,0.018695521,3938,102,8,0
0ab6a012be,10/2 Advice for teens who have friend problems,Advice for teens who have friend problems,Grown & Flown Email Subscription,10/2/2022,Sunday,158739,182,75453,103769,5764,0.030348707,6892,155,9,0
9c70ecc76c,FAFSA Day (large email list),FAFSA Day: Resources for You,Grown & Flown Email Subscription,10/1/2022,Saturday,158810,214,76208,106436,2146,0.009596711,2729,84,3,0
ac1da74531,"9/29 When to let go of what you think ""perfect parenting"" is","When to let go of what you think ""perfect parenting"" is",Grown & Flown Email Subscription,9/29/2022,Thursday,158972,327,74608,103591,4248,0.021721454,4888,99,8,0
68ee53781a,9/27 5 Things NOT to Get Stressed About During Senior Year,5 Things NOT to Stress About During Senior Year,Grown & Flown Email Subscription,9/27/2022,Tuesday,157418,326,72690,100858,3362,0.019109821,3925,132,12,0
31dadffe59,"9/25 FAFSA and CSS Profile: Tips, Resources, and Mistakes to Avoid","FAFSA and CSS Profile: Tips, Resources, and Mistakes to Avoid",Grown & Flown Email Subscription,9/25/2022,Sunday,156104,284,77189,110850,6204,0.032069054,9100,129,11,0
4badc30906,9/22 Turns Out I Had No Idea How Hard It Was to Parent Teens,Turns Out I Had No Idea How Hard It Was to Parent Teens,Grown & Flown Email Subscription,9/22/2022,Thursday,156039,271,72412,101311,3856,0.019214473,4563,134,18,0
71ef5d2677,9/20 10 things teens wish their parents knew about them,10 things teens wish their parents knew about them,Grown & Flown Email Subscription,9/20/2022,Tuesday,154039,239,74446,106402,5627,0.033023407,6408,94,5,0
44cb1cd9ef,9/18 7 mistakes parents make in the college search process,7 mistakes parents make in the college search process,Grown & Flown Email Subscription,9/18/2022,Sunday,154006,285,70827,100778,7578,0.03820558,8575,117,3,0
02a3870c97,9/15 This is why you should let teens have lots of down time,This is why you should let teens have lots of down time,Grown & Flown Email Subscription,9/15/2022,Thursday,154059,151,75435,107984,5664,0.032084102,6479,113,13,0
a0bff7ab69,Early decision and the FAFSA: mistakes to avoid,Early decision and the FAFSA: mistakes to avoid,Grown & Flown Email Subscription,9/13/2022,Tuesday,154137,158,76577,108243,788,0.003279668,918,102,7,0
d46a486211,9/13 5 phone calls from your college freshman to be prepared for,5 phone calls from your new college student to be prepared for,Grown & Flown Email Subscription,9/13/2022,Tuesday,154258,138,75790,109608,7280,0.041487153,8225,163,7,0
19df7a7222,9/11 Is it smart to gain college credit while in high school?,Is it smart to gain college credit while in high school?,Grown & Flown Email Subscription,9/11/2022,Sunday,154284,798,74832,105017,4105,0.023513545,4738,134,5,0
9c2d54b744,9/8 Things NOT to say when you don’t like your teen’s friends,Things NOT to say when you don’t like your teen’s friends,Grown & Flown Email Subscription,9/8/2022,Thursday,154354,164,78142,110913,5281,0.029093975,6031,134,11,0
b960aaaef2,9/7 Applying to and paying for college: it's time to get answers,Applying to and paying for college: it's time to get answers,Grown & Flown Email Subscription,9/7/2022,Wednesday,154487,177,77443,107590,532,0.001898775,620,156,9,0
7d368d73de,9/4 Eighteen is a year overflowing with contradictions,Eighteen is a year overflowing with contradictions,Grown & Flown Email Subscription,9/4/2022,Sunday,154376,164,75860,108279,6929,0.03440718,8198,134,20,0
9dd4fd619c,What to expect when your baby goes to high school,What to expect when your baby goes to high school,Grown & Flown Email Subscription,9/1/2022,Thursday,154399,172,75639,106041,3728,0.020528182,4482,157,11,0
d7b13c4e3f,Why parents should let teens do hard things,Why parents should let teens do hard things,Grown & Flown Email Subscription,8/30/2022,Tuesday,154386,159,74489,105981,4606,0.024165678,5379,136,7,0
677ed06ce8,This college freshman letter will make you cry,This college freshman letter will make you cry,Grown & Flown Email Subscription,8/28/2022,Sunday,154280,150,76404,108039,11249,0.039492636,12244,209,6,0
4a427bdf1a,How parenting amplified my own anxiety,How parenting amplified my own anxiety,Grown & Flown Email Subscription,8/25/2022,Thursday,153120,144,73933,103929,4077,0.02168314,4908,131,19,0
6a122ebb9f,What I wish I knew as a high school freshman,What I wish I knew as a high school freshman,Grown & Flown Email Subscription,8/23/2022,Tuesday,153087,166,77016,109383,2561,0.015138536,2952,71,8,0
7a916f5fb3,11 things NOT to do on move-in day (copy 01),11 things NOT to do on college move-in day,Grown & Flown Email Subscription,8/22/2022,Monday,79573,148,15408,19832,845,0.009316966,960,35,1,0
